,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
820,Xiaomi,Redmi Note 5 3/32GB Gold,Android,717,3671,3260,4779,4,5.9,32,4000,18-May
821,Xiaomi,Redmi Note 5 3/32GB Rose Gold,Android,347,3595,3377,3814,4,5.9,32,4000,18-May
822,Xiaomi,Redmi Note 5 4/64GB Gold,Android,1120,3451,2999,3639,5,5.99,64,4000,18-May
823,Xiaomi,Redmi Note 6 Pro 3/32GB Blue,Android,514,3599,,,1,6.26,32,4000,18-Oct
824,Xiaomi,Redmi Note 6 Pro 4/64GB Blue,Android,420,5010,4873,5147,2,6.26,64,4000,18-Oct
825,Xiaomi,Redmi Note 6 Pro 4/64GB Rose Gold,Android,392,5010,4873,5147,2,6.26,64,4000,18-Oct
826,Xiaomi,Redmi Note 7 4/64GB Black,Android,1068,4323,4250,4459,3,6.3,64,4000,19-Jan
827,Xiaomi,Redmi Note 8 3/32GB Blue,Android,971,4304,4299,4309,2,6.3,32,4000,19-Nov
828,Xiaomi,Redmi Note 8 4/128GB Black,Android,912,5261,4999,5701,8,6.3,128,4000,19-Oct
829,Xiaomi,Redmi Note 8 4/64GB Blue,Android,1171,4888,4499,5275,11,6.3,64,4000,19-Sep
830,Xiaomi,Redmi Note 8 6/128GB Blue,Android,967,5514,5260,5990,7,6.3,128,4000,19-Sep
831,Xiaomi,Redmi Note 8 6/64GB White,Android,771,5164,4999,5329,2,6.3,64,4000,20-Aug
832,Xiaomi,Redmi Note 8 Pro 6/128GB Green,Android,1125,6811,6435,7264,31,6.53,128,4500,19-Sep
833,Xiaomi,Redmi Note 8 Pro 6/64GB Green,Android,1193,6164,5699,6600,39,6.53,64,4500,19-Sep
834,Xiaomi,Redmi Note 8 Pro 8/128GB White,Android,891,6630,,,1,6.53,128,4500,20-May
835,Xiaomi,Redmi Note 8T 3/32GB Grey,Android,607,6600,,,1,6.3,32,4000,19-Nov
836,Xiaomi,Redmi Note 8T 4/64GB Grey,Android,1141,4899,,,1,6.3,64,4000,19-Nov
837,Xiaomi,Redmi Note 9 3/64GB Grey (no NFC),Android,465,4834,4773,4895,2,6.53,64,5020,20-Jul
838,Xiaomi,Redmi Note 9 3/64GB Grey NFC,Android,1170,5085,4649,6099,45,6.53,64,5020,20-May
839,Xiaomi,Redmi Note 9 4/128GB Grey NFC,Android,1200,5648,5399,6353,49,6.53,128,5020,20-May
840,Xiaomi,Redmi Note 9 4/128GB White (no NFC),Android,646,5210,5104,5489,5,6.53,128,5020,20-Jul
841,Xiaomi,Redmi Note 9 Pro 4/64GB Interstellar Grey,Android,757,7014,6999,7030,2,6.67,64,5020,20-Nov
842,Xiaomi,Redmi Note 9 Pro 6/128GB Grey,Android,1219,7427,7025,7999,99,6.67,128,5020,20-May
843,Xiaomi,Redmi Note 9 Pro 6/64GB Green,Android,1201,6820,6395,7204,102,6.67,64,5020,20-May
844,Xiaomi,Redmi Note 9S 4/64GB Grey,Android,1196,5754,5295,6555,30,6.67,64,5020,20-Apr
845,Xiaomi,Redmi Note 9S 6/128GB Grey,Android,1137,6576,6232,7239,16,6.67,128,5020,20-Apr
846,Xiaomi,Redmi Note 9T 4/128GB Nightfall Black,Android,763,8442,7780,8999,6,6.53,128,5000,21-Jan
847,Xiaomi,Redmi Note 9T 4/64GB Daybreak Purple,Android,958,7682,6999,8499,10,6.53,64,5000,21-Jan
