,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
450,Samsung,Galaxy Note 10 SM-N9700 8/256GB Black (SM-N9700ZKD),Android,568,21353,20426,23273,5,6.3,256,3500,19-Aug
451,Samsung,Galaxy Note 10 SM-N9700 8/256GB White,Android,658,21852,18449,23719,14,6.3,256,3500,19-Sep
452,Samsung,Galaxy Note 10 SM-N970F 8/256GB Black (SM-N970FZKD),Android,1172,19940,16499,28940,53,6.3,256,3500,19-Aug
453,Samsung,Galaxy Note 10+ SM-N9750 12/256GB Aura Glow,Android,909,25252,22849,26748,16,6.8,256,4300,19-Aug
454,Samsung,Galaxy Note 10+ SM-N9750 12/512GB Black,Android,421,27124,,,1,6.8,512,4300,19-Sep
455,Samsung,Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),Android,1113,23920,20651,31163,49,6.8,256,4300,19-Aug
456,Samsung,Galaxy Note 10+ SM-N975F 12/512GB Aura Black,Android,233,27973,25820,31545,3,6.8,512,4300,19-Sep
457,Samsung,Galaxy Note 8 64GB Gold,Android,744,9923,9250,10598,3,6.3,64,3300,17-Aug
458,Samsung,Galaxy Note 8 N950F Single sim 128GB Black,Android,184,18114,17695,18626,6,6.3,128,3300,18-Jun
459,Samsung,Galaxy Note 8 N950F Single sim 128GB Black,Android,217,18114,17695,18626,6,6.3,128,3300,18-Jun
460,Samsung,Galaxy Note 9 N960 6/128GB Metallic Copper,Android,889,14422,13890,15467,15,6.4,128,4000,18-Aug
461,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,164,20948,20469,21871,3,6.4,512,4000,18-Sep
462,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,123,20948,20469,21871,3,6.4,512,4000,18-Sep
463,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,114,20948,20469,21871,3,6.4,512,4000,18-Sep
464,Samsung,Galaxy Note 9 N960 8/512GB Metallic Copper,Android,813,16076,15090,21366,17,6.4,512,4000,18-Aug
465,Samsung,Galaxy Note 9 N960 8/512GB Midnight Black,Android,992,17585,15840,23770,14,6.4,512,4000,18-Aug
466,Samsung,Galaxy Note 9 N960 8/512GB Ocean Blue (SM-N960FZBH),Android,714,17540,15330,35999,16,6.4,512,4000,18-Aug
467,Samsung,Galaxy Note10 Lite SM-N770F Dual 6/128GB Black (SM-N770FZKD),Android,1182,11405,9756,13999,77,6.7,128,4500,20-Jan
468,Samsung,Galaxy Note10 Lite SM-N770F Dual 8/128GB Black (SM-N770FZKU),Android,915,12169,11699,13098,27,6.7,128,4500,20-Mar
469,Samsung,Galaxy Note20 5G N9810 8/256GB Mystic Gray,Android,956,21175,20290,22949,34,6.7,256,4300,20-Sep
470,Samsung,Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,Android,730,21222,20230,28270,27,6.7,256,4300,20-Aug
471,Samsung,Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),Android,1080,22670,18920,30778,63,6.7,256,4300,20-Aug
472,Samsung,Galaxy Note20 Ultra 5G SM-N9860 12/256GB Mystic Black,Android,1146,30008,28948,34505,33,6.9,256,4500,20-Sep
473,Samsung,Galaxy Note20 Ultra 5G SM-N986B 12/256GB Mystic Black,Android,1013,28896,27149,34640,36,6.9,256,4500,20-Aug
474,Samsung,Galaxy Note20 Ultra 5G SM-N986B 12/512GB Mystic Black (SM-N986BZKH),Android,800,39524,28381,41999,20,6.9,512,4500,20-Aug
475,Samsung,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),Android,1147,32669,27599,35999,38,6.9,256,4500,20-Aug
476,Samsung,Galaxy S10 Lite SM-G770 6/128GB Black (SM-G770FZKG),Android,1190,14079,12049,15469,4,6.7,128,4500,20-Jan
477,Samsung,Galaxy S10 Lite SM-G770 8/128GB Black,Android,1054,14654,13167,16476,11,6.7,128,4500,20-Mar
478,Samsung,Galaxy S10 SM-G973 DS 128GB Green (SM-G973FZGD),Android,1199,17561,14499,18999,64,6.1,128,3400,19-Feb
479,Samsung,Galaxy S10 SM-G973 DS 512GB Black,Android,198,21229,17900,23261,13,6.1,512,3400,19-Feb
480,Samsung,Galaxy S10 SM-G9730 DS 128GB Black,Android,861,19123,17999,20510,10,6.1,128,3400,19-Feb
481,Samsung,Galaxy S10+ SM-G975 DS 128GB Black (SM-G975FZKD),Android,1180,17860,13888,23218,45,6.4,128,4000,19-Feb
482,Samsung,Galaxy S10+ SM-G975 DS 1TB Black (SM-G975FCKH),Android,847,22932,20995,47292,22,6.4,1000,4000,19-Feb
483,Samsung,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android,795,23137,20995,47292,22,6.4,1000,4000,19-Feb
484,Samsung,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),Android,910,21304,18619,39999,26,6.4,512,4000,19-Feb
485,Samsung,Galaxy S10+ SM-G975 DS 512GB White (SM-G975FCWG),Android,828,19878,17970,33999,28,6.4,512,4000,19-Feb
486,Samsung,Galaxy S10+ SM-G975 SS 512GB White,Android,413,18739,,,1,6.4,512,4000,19-Feb
487,Samsung,Galaxy S10+ SM-G975 SS 512GB White,Android,403,18739,,,1,6.4,512,4000,19-Feb
488,Samsung,Galaxy S10+ SM-G9750 DS 128GB Black,Android,817,20044,19529,20999,9,6.4,128,4000,19-Feb
489,Samsung,Galaxy S10+ SM-G9750 DS 128GB Black,Android,815,20044,19529,20999,9,6.4,128,4000,19-Feb
490,Samsung,Galaxy S10+ SM-G9750 DS 1TB Black,Android,66,21454,20954,21954,3,6.4,1000,4000,19-Feb
491,Samsung,Galaxy S10e SM-G970 DS 128GB Black (SM-G970FZKD),Android,1122,16313,15483,17499,23,5.8,128,3100,19-Feb
492,Samsung,Galaxy S10e SM-G9700 DS 128GB Black,Android,499,12499,,,1,5.8,128,3100,19-Mar
493,Samsung,Galaxy S20 5G SM-G981 12/128GB Cosmic Gray,Android,1003,20699,,,1,6.2,128,4000,20-Jul
494,Samsung,Galaxy S20 5G SM-G9810 12/128GB Cloud Pink,Android,1034,22846,22130,24453,22,6.2,128,4000,20-May
495,Samsung,Galaxy S20 FE 5G SM-G7810 8/128GB Cloud Navy,Android,1181,17390,16810,18499,20,6.5,128,4500,20-Oct
496,Samsung,Galaxy S20 FE 5G SM-G7810 Dual 8/256GB Cloud Navy,Android,913,21157,20510,22116,14,6.5,256,4500,21-Jan
497,Samsung,Galaxy S20 FE 5G SM-G781B 6/128GB Cloud Red,Android,964,17332,16690,18017,10,6.5,128,4500,20-Dec
498,Samsung,Galaxy S20 FE 5G SM-G781B 8/128GB Cloud Red,Android,396,16980,,,1,6.5,128,4500,21-Jan
499,Samsung,Galaxy S20 FE SM-G780F 6/128GB Blue (SM-G780FZBD),Android,1197,17631,15280,21724,79,6.5,128,4500,20-Sep
500,Samsung,Galaxy S20 FE SM-G780F 6/256GB Cloud Navy,Android,439,20513,18999,22449,8,6.5,256,4500,20-Dec
501,Samsung,Galaxy S20 FE SM-G780F 8/128GB Cloud Navy,Android,899,16396,15650,18187,16,6.5,128,4500,20-Nov
502,Samsung,Galaxy S20 FE SM-G780F 8/256GB Blue (SM-G780FZBH),Android,982,19215,16967,23228,56,6.5,256,4500,20-Nov
503,Samsung,Galaxy S20 SM-G980 8/128GB Grey (SM-G980FZAD),Android,1210,21011,18129,29432,65,6.2,128,4000,20-Feb
504,Samsung,Galaxy S20 Ultra 5G SM-G9880 12/256GB Cosmic Gray,Android,933,29175,27238,31780,30,6.9,256,5000,20-May
505,Samsung,Galaxy S20 Ultra 5G SM-G988B 12/128GB Black,Android,984,27461,25999,34999,30,6.9,128,5000,20-May
506,Samsung,Galaxy S20 Ultra SM-G988 128GB Grey (SM-G988BZAD),Android,1114,32806,26080,42127,63,6.9,128,5000,20-Feb
507,Samsung,Galaxy S20+ 5G SM-G9860 12/128GB Cosmic Black,Android,1130,23302,22580,25183,31,6.9,128,4500,20-Apr
508,Samsung,Galaxy S20+ 5G SM-G9860 8/128GB Gray,Android,192,24843,24369,25318,2,6.7,128,4500,20-May
509,Samsung,Galaxy S20+ 5G SM-G9860 8/128GB Gray,Android,226,24843,24369,25318,2,6.7,128,4500,20-May
510,Samsung,Galaxy S20+ 5G SM-G986B 12/128GB Black,Android,321,21905,21150,22572,3,6.7,128,4500,20-Oct
511,Samsung,Galaxy S20+ 5G SM-G986F-DS 12/128GB Black,Android,1011,21326,20490,23321,35,6.7,128,4500,20-Feb
512,Samsung,Galaxy S20+ LTE SM-G985 Dual 8/128GB Black (SM-G985FZKD),Android,1070,24160,19424,27138,87,6.7,128,4500,20-Feb
513,Samsung,Galaxy S21 8/128GB Phantom Grey (SM-G991BZADSEK),Android,1175,26751,24059,27655,25,6.2,128,4000,21-Jan
514,Samsung,Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK),Android,1004,28876,27499,29210,22,6.2,256,4000,21-Jan
515,Samsung,Galaxy S21 Ultra 12/128GB Phantom Black (SM-G998BZKDSEK),Android,1104,37630,34899,40559,28,6.8,128,5000,21-Jan
516,Samsung,Galaxy S21 Ultra 12/256GB Phantom Black (SM-G998BZKGSEK),Android,1164,39620,36359,42127,22,6.8,256,5000,21-Jan
517,Samsung,Galaxy S21 Ultra 16/512GB Phantom Black (SM-G998BZKHSEK),Android,1136,42649,36899,43999,26,6.8,512,5000,21-Jan
518,Samsung,Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK),Android,979,31574,29319,33601,32,6.7,128,4800,21-Jan
519,Samsung,Galaxy S21+ 8/256GB Phantom Black (SM-G996BZKGSEK),Android,1006,33443,30899,33999,27,6.7,256,4800,21-Jan
520,Samsung,Galaxy S7 G930F 32GB (Black),Android,824,5400,,,1,5.1,32,3000,16-Apr
521,Samsung,Galaxy S7 G930F 32GB (Gold),Android,685,7782,6896,8225,3,5.1,32,3000,16-Apr
522,Samsung,Galaxy S8 64GB Blue,Android,908,7864,7640,8089,2,5.8,64,3000,17-Mar
523,Samsung,Galaxy S8 G950F Single Sim 64GB Black,Android,886,7640,,,1,5.8,64,3000,18-Feb
524,Samsung,Galaxy S8+ 64GB Black (SM-G955FZKD),Android,871,10787,8299,12898,7,6.2,64,3500,17-Mar
525,Samsung,Galaxy S8+ SM-G955U 64GB Black,Android,664,8709,,,1,6.2,64,3500,20-Dec
526,Samsung,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),Android,167,14990,,,1,5.8,128,3000,18-Feb
527,Samsung,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),Android,126,14990,,,1,5.8,128,3000,18-Feb
528,Samsung,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),Android,117,14990,,,1,5.8,128,3000,18-Feb
529,Samsung,Galaxy S9 SM-G960 DS 128GB Blue,Android,92,16798,13309,18370,8,5.8,128,3000,18-Feb
530,Samsung,Galaxy S9 SM-G960 DS 128GB Blue,Android,101,16798,13309,18370,8,5.8,128,3000,18-Feb
531,Samsung,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG),Android,17,13720,,,1,5.8,128,3000,18-Feb
532,Samsung,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),Android,249,13537,12754,14367,9,5.8,128,3000,18-Feb
533,Samsung,Galaxy S9 SM-G960 DS 64GB Black (SM-G960FZKD),Android,1105,11207,9050,13880,5,5.8,64,3000,18-Feb
534,Samsung,Galaxy S9 SM-G960U1 128GB Purple,Android,426,12869,,,1,5.8,128,3000,20-Dec
535,Samsung,Galaxy S9+ SM-G965 DS 128GB Black,Android,376,13550,,,1,6.2,128,3500,18-Feb
536,Samsung,Galaxy S9+ SM-G965 DS 128GB Blue,Android,230,13436,12592,14703,9,6.2,128,3500,18-Feb
537,Samsung,Galaxy S9+ SM-G965 DS 128GB Grey,Android,285,13525,12870,14480,6,6.2,128,3500,18-Feb
538,Samsung,Galaxy S9+ SM-G965 DS 128GB Purple,Android,470,14502,12870,16135,2,6.2,128,3500,18-Feb
539,Samsung,Galaxy S9+ SM-G965 DS 256GB Black (SM-G965FZKH),Android,517,14532,13327,15499,15,6.2,256,3500,18-Feb
540,Samsung,Galaxy S9+ SM-G965 DS 64GB Black (SM-G965FZKD),Android,1135,13837,10048,17966,16,6.2,64,3500,18-Feb
541,Samsung,Galaxy Z Flip 5G SM-F707 8/256GB Mystic Bronze,Android,696,22434,21930,24530,13,6.7,256,3300,20-Oct
542,Samsung,Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD),Android,1029,35015,24588,41999,16,6.7,256,3300,20-Feb
543,Samsung,Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ),Android,1099,51460,44809,59999,33,7.6,256,4500,20-Aug
659,Samsung,N920C Galaxy Note 5 32GB (Gold Platinum),Android,31,5494,,,1,5.7,32,3000,15-Oct
954,Samsung,X Cover 4s G398F (SM-G398FZKD),Android,944,7130,5630,7499,33,5,32,2800,19-Aug
