brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,89390,109353,18,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,89702,0,0,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,Yes,79990,97946,18,4.6,23,2,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,61290,73774,16,3,4,1,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,69490,69736,0,4.2,72,7,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,55490,80711,31,4.1,337,27,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,59990,76143,21,3.8,31,7,,,,,
DELL,XPS,Intel,Core i5,10th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,111890,154446,27,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,No,65990,88037,25,4.3,10,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,71090,89849,20,4.1,44,6,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,ThinNlight,Missing,1,No,Yes,66490,87168,23,4.1,199,17,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,74500,78990,5,4.4,45,5,,,,,
DELL,XPS,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,114990,115729,0,0,0,0,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,ThinNlight,Missing,0,No,No,61990,68859,9,4.1,35,4,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,77990,98200,20,4.5,31,5,,,,,
DELL,DELL,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,65990,75800,12,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,No,Yes,88990,90605,1,3.8,19,2,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,70799,89564,20,4.7,98,6,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,ThinNlight,Missing,3,No,No,71990,86000,16,0,0,0,,,,,
DELL,Inpiron,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,1,No,No,79990,117587,31,0,0,0,,,,,
DELL,GAMING,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,1,No,No,76300,79999,4,4.2,6,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,72900,74900,2,3.9,24,4,,,,,
